AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-10-02,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-10-23,1.0,Los Angeles International,85,Los Angeles,California,United States of America (the)
Daily,2020-04-06,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-07-11,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-08-12,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-05-01,1.0,Los Angeles International,64,Los Angeles,California,United States of America (the)
Daily,2020-05-18,1.0,Los Angeles International,60,Los Angeles,California,United States of America (the)
Daily,2020-06-12,1.0,Los Angeles International,65,Los Angeles,California,United States of America (the)
Daily,2020-07-01,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-07-15,1.0,Los Angeles International,74,Los Angeles,California,United States of America (the)
Daily,2020-07-19,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-07-27,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-08-14,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-08-18,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-11-03,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-11-10,1.0,Los Angeles International,88,Los Angeles,California,United States of America (the)
Daily,2020-03-17,1.0,Los Angeles International,99,Los Angeles,California,United States of America (the)
Daily,2020-04-11,1.0,Los Angeles International,52,Los Angeles,California,United States of America (the)
Daily,2020-04-30,1.0,Los Angeles International,64,Los Angeles,California,United States of America (the)
Daily,2020-05-08,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-05-31,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-06-16,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-08-08,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-09-16,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-10-04,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-10-06,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-10-14,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-11-09,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-03-27,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-08-05,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-10-18,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-04-03,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-05-12,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-06-19,1.0,Los Angeles International,60,Los Angeles,California,United States of America (the)
Daily,2020-07-16,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-09-10,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-03-28,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-03-26,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-04-28,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-05-21,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-07-09,1.0,Los Angeles International,73,Los Angeles,California,United States of America (the)
Daily,2020-08-04,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-08-28,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-09-14,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-06-25,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-07-08,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-09-22,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-10-28,1.0,Los Angeles International,81,Los Angeles,California,United States of America (the)
Daily,2020-04-27,1.0,Los Angeles International,61,Los Angeles,California,United States of America (the)
Daily,2020-05-29,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-06-27,1.0,Los Angeles International,59,Los Angeles,California,United States of America (the)
Daily,2020-10-17,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-10-29,1.0,Los Angeles International,83,Los Angeles,California,United States of America (the)
Daily,2020-11-18,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-08-29,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-10-16,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-10-31,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-05-04,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-06-14,1.0,Los Angeles International,54,Los Angeles,California,United States of America (the)
Daily,2020-07-23,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-07-29,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-08-13,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-04-01,1.0,Los Angeles International,65,Los Angeles,California,United States of America (the)
Daily,2020-05-11,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-07-10,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-09-05,1.0,Los Angeles International,74,Los Angeles,California,United States of America (the)
Daily,2020-10-20,1.0,Los Angeles International,83,Los Angeles,California,United States of America (the)
Daily,2020-10-22,1.0,Los Angeles International,88,Los Angeles,California,United States of America (the)
Daily,2020-11-02,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-11-06,1.0,Los Angeles International,87,Los Angeles,California,United States of America (the)
Daily,2020-04-25,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-05-14,1.0,Los Angeles International,64,Los Angeles,California,United States of America (the)
Daily,2020-09-02,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-09-06,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-11-12,1.0,Los Angeles International,84,Los Angeles,California,United States of America (the)
Daily,2020-05-22,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-08-03,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-11-21,1.0,Los Angeles International,85,Los Angeles,California,United States of America (the)
Daily,2020-04-08,1.0,Los Angeles International,62,Los Angeles,California,United States of America (the)
Daily,2020-08-20,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-04-22,1.0,Los Angeles International,60,Los Angeles,California,United States of America (the)
Daily,2020-06-09,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-07-26,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-08-11,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-08-15,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-09-04,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-09-20,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-10-30,1.0,Los Angeles International,82,Los Angeles,California,United States of America (the)
Daily,2020-11-08,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-04-15,1.0,Los Angeles International,58,Los Angeles,California,United States of America (the)
Daily,2020-06-05,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-06-15,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-07-17,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-08-10,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-08-21,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-09-09,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-09-17,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-09-18,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-06-13,1.0,Los Angeles International,60,Los Angeles,California,United States of America (the)
Daily,2020-06-28,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-07-02,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-07-30,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-08-25,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-10-01,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-10-03,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-05-07,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-05-17,1.0,Los Angeles International,54,Los Angeles,California,United States of America (the)
Daily,2020-06-29,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-09-25,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-11-04,1.0,Los Angeles International,82,Los Angeles,California,United States of America (the)
Daily,2020-12-02,1.0,Los Angeles International,81,Los Angeles,California,United States of America (the)
Daily,2020-03-24,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-04-14,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-06-11,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-06-23,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-07-22,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
