AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-06-17,1.0,Seattle-Tacoma International ,78,SeaTac,Washington,United States of America (the)
Daily,2020-07-08,1.0,Seattle-Tacoma International ,79,SeaTac,Washington,United States of America (the)
Daily,2020-07-12,1.0,Seattle-Tacoma International ,47,SeaTac,Washington,United States of America (the)
Daily,2020-08-08,1.0,Seattle-Tacoma International ,76,SeaTac,Washington,United States of America (the)
Daily,2020-09-04,1.0,Seattle-Tacoma International ,65,SeaTac,Washington,United States of America (the)
Daily,2020-12-01,1.0,Seattle-Tacoma International ,71,SeaTac,Washington,United States of America (the)
Daily,2020-06-21,1.0,Seattle-Tacoma International ,62,SeaTac,Washington,United States of America (the)
Daily,2020-06-30,1.0,Seattle-Tacoma International ,67,SeaTac,Washington,United States of America (the)
Daily,2020-07-11,1.0,Seattle-Tacoma International ,55,SeaTac,Washington,United States of America (the)
Daily,2020-08-31,1.0,Seattle-Tacoma International ,60,SeaTac,Washington,United States of America (the)
Daily,2020-06-13,1.0,Seattle-Tacoma International ,59,SeaTac,Washington,United States of America (the)
Daily,2020-07-09,1.0,Seattle-Tacoma International ,80,SeaTac,Washington,United States of America (the)
Daily,2020-07-30,1.0,Seattle-Tacoma International ,72,SeaTac,Washington,United States of America (the)
Daily,2020-10-04,1.0,Seattle-Tacoma International ,43,SeaTac,Washington,United States of America (the)
Daily,2020-11-04,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-11-26,1.0,Seattle-Tacoma International ,27,SeaTac,Washington,United States of America (the)
Daily,2020-03-17,1.0,Seattle-Tacoma International ,85,SeaTac,Washington,United States of America (the)
Daily,2020-04-19,1.0,Seattle-Tacoma International ,26,SeaTac,Washington,United States of America (the)
Daily,2020-04-23,1.0,Seattle-Tacoma International ,57,SeaTac,Washington,United States of America (the)
Daily,2020-05-09,1.0,Seattle-Tacoma International ,46,SeaTac,Washington,United States of America (the)
Daily,2020-07-14,1.0,Seattle-Tacoma International ,77,SeaTac,Washington,United States of America (the)
Daily,2020-08-07,1.0,Seattle-Tacoma International ,80,SeaTac,Washington,United States of America (the)
Daily,2020-08-21,1.0,Seattle-Tacoma International ,67,SeaTac,Washington,United States of America (the)
Daily,2020-09-19,1.0,Seattle-Tacoma International ,51,SeaTac,Washington,United States of America (the)
Daily,2020-10-01,1.0,Seattle-Tacoma International ,78,SeaTac,Washington,United States of America (the)
Daily,2020-11-30,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-04-06,1.0,Seattle-Tacoma International ,54,SeaTac,Washington,United States of America (the)
Daily,2020-05-13,1.0,Seattle-Tacoma International ,73,SeaTac,Washington,United States of America (the)
Daily,2020-10-19,1.0,Seattle-Tacoma International ,73,SeaTac,Washington,United States of America (the)
Daily,2020-03-19,1.0,Seattle-Tacoma International ,78,SeaTac,Washington,United States of America (the)
Daily,2020-03-20,1.0,Seattle-Tacoma International ,71,SeaTac,Washington,United States of America (the)
Daily,2020-05-31,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-06-12,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-06-14,1.0,Seattle-Tacoma International ,59,SeaTac,Washington,United States of America (the)
Daily,2020-10-06,1.0,Seattle-Tacoma International ,71,SeaTac,Washington,United States of America (the)
Daily,2020-11-09,1.0,Seattle-Tacoma International ,65,SeaTac,Washington,United States of America (the)
Daily,2020-04-11,1.0,Seattle-Tacoma International ,42,SeaTac,Washington,United States of America (the)
Daily,2020-07-01,1.0,Seattle-Tacoma International ,80,SeaTac,Washington,United States of America (the)
Daily,2020-07-21,1.0,Seattle-Tacoma International ,81,SeaTac,Washington,United States of America (the)
Daily,2020-09-12,1.0,Seattle-Tacoma International ,68,SeaTac,Washington,United States of America (the)
Daily,2020-11-28,1.0,Seattle-Tacoma International ,67,SeaTac,Washington,United States of America (the)
Daily,2020-08-23,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-09-22,1.0,Seattle-Tacoma International ,72,SeaTac,Washington,United States of America (the)
Daily,2020-09-26,1.0,Seattle-Tacoma International ,54,SeaTac,Washington,United States of America (the)
Daily,2020-11-20,1.0,Seattle-Tacoma International ,71,SeaTac,Washington,United States of America (the)
Daily,2020-05-02,1.0,Seattle-Tacoma International ,38,SeaTac,Washington,United States of America (the)
Daily,2020-07-13,1.0,Seattle-Tacoma International ,63,SeaTac,Washington,United States of America (the)
Daily,2020-08-28,1.0,Seattle-Tacoma International ,68,SeaTac,Washington,United States of America (the)
Daily,2020-09-25,1.0,Seattle-Tacoma International ,59,SeaTac,Washington,United States of America (the)
Daily,2020-10-30,1.0,Seattle-Tacoma International ,63,SeaTac,Washington,United States of America (the)
Daily,2020-04-01,1.0,Seattle-Tacoma International ,65,SeaTac,Washington,United States of America (the)
Daily,2020-04-20,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-08-14,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-09-09,1.0,Seattle-Tacoma International ,74,SeaTac,Washington,United States of America (the)
Daily,2020-09-23,1.0,Seattle-Tacoma International ,70,SeaTac,Washington,United States of America (the)
Daily,2020-10-16,1.0,Seattle-Tacoma International ,72,SeaTac,Washington,United States of America (the)
Daily,2020-04-22,1.0,Seattle-Tacoma International ,63,SeaTac,Washington,United States of America (the)
Daily,2020-04-27,1.0,Seattle-Tacoma International ,61,SeaTac,Washington,United States of America (the)
Daily,2020-07-25,1.0,Seattle-Tacoma International ,65,SeaTac,Washington,United States of America (the)
Daily,2020-09-27,1.0,Seattle-Tacoma International ,50,SeaTac,Washington,United States of America (the)
Daily,2020-03-31,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-04-08,1.0,Seattle-Tacoma International ,65,SeaTac,Washington,United States of America (the)
Daily,2020-07-23,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-10-24,1.0,Seattle-Tacoma International ,51,SeaTac,Washington,United States of America (the)
Daily,2020-03-23,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-03-27,1.0,Seattle-Tacoma International ,67,SeaTac,Washington,United States of America (the)
Daily,2020-04-17,1.0,Seattle-Tacoma International ,49,SeaTac,Washington,United States of America (the)
Daily,2020-04-25,1.0,Seattle-Tacoma International ,42,SeaTac,Washington,United States of America (the)
Daily,2020-06-15,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-09-21,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-10-02,1.0,Seattle-Tacoma International ,72,SeaTac,Washington,United States of America (the)
Daily,2020-11-22,1.0,Seattle-Tacoma International ,71,SeaTac,Washington,United States of America (the)
Daily,2020-03-30,1.0,Seattle-Tacoma International ,50,SeaTac,Washington,United States of America (the)
Daily,2020-04-16,1.0,Seattle-Tacoma International ,61,SeaTac,Washington,United States of America (the)
Daily,2020-05-11,1.0,Seattle-Tacoma International ,69,SeaTac,Washington,United States of America (the)
Daily,2020-06-25,1.0,Seattle-Tacoma International ,76,SeaTac,Washington,United States of America (the)
Daily,2020-08-04,1.0,Seattle-Tacoma International ,79,SeaTac,Washington,United States of America (the)
Daily,2020-08-09,1.0,Seattle-Tacoma International ,56,SeaTac,Washington,United States of America (the)
Daily,2020-08-10,1.0,Seattle-Tacoma International ,67,SeaTac,Washington,United States of America (the)
Daily,2020-09-15,1.0,Seattle-Tacoma International ,61,SeaTac,Washington,United States of America (the)
Daily,2020-11-10,1.0,Seattle-Tacoma International ,74,SeaTac,Washington,United States of America (the)
Daily,2020-05-25,1.0,Seattle-Tacoma International ,25,SeaTac,Washington,United States of America (the)
Daily,2020-05-26,1.0,Seattle-Tacoma International ,61,SeaTac,Washington,United States of America (the)
Daily,2020-06-07,1.0,Seattle-Tacoma International ,70,SeaTac,Washington,United States of America (the)
