AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-11-11,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-11-23,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-11-26,1.0,Washington Dulles International ,12,Floris,Virginia,United States of America (the)
Daily,2020-11-27,1.0,Washington Dulles International ,30,Floris,Virginia,United States of America (the)
Daily,2020-07-21,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-07-28,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-08-03,1.0,Washington Dulles International ,64,Floris,Virginia,United States of America (the)
Daily,2020-08-13,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-08-25,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-10-01,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-10-02,1.0,Washington Dulles International ,62,Floris,Virginia,United States of America (the)
Daily,2020-10-07,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-11-07,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-04-06,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-04-10,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-05-02,1.0,Washington Dulles International ,39,Floris,Virginia,United States of America (the)
Daily,2020-06-02,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-07-04,1.0,Washington Dulles International ,16,Floris,Virginia,United States of America (the)
Daily,2020-07-26,1.0,Washington Dulles International ,50,Floris,Virginia,United States of America (the)
Daily,2020-08-06,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-08-07,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-08-21,1.0,Washington Dulles International ,58,Floris,Virginia,United States of America (the)
Daily,2020-08-27,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-09-11,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-11-13,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-03-18,1.0,Washington Dulles International ,85,Floris,Virginia,United States of America (the)
Daily,2020-03-27,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-08-16,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-09-18,1.0,Washington Dulles International ,69,Floris,Virginia,United States of America (the)
Daily,2020-04-08,1.0,Washington Dulles International ,55,Floris,Virginia,United States of America (the)
Daily,2020-04-20,1.0,Washington Dulles International ,59,Floris,Virginia,United States of America (the)
Daily,2020-05-01,1.0,Washington Dulles International ,49,Floris,Virginia,United States of America (the)
Daily,2020-06-12,1.0,Washington Dulles International ,51,Floris,Virginia,United States of America (the)
Daily,2020-09-25,1.0,Washington Dulles International ,64,Floris,Virginia,United States of America (the)
Daily,2020-10-20,1.0,Washington Dulles International ,73,Floris,Virginia,United States of America (the)
Daily,2020-11-22,1.0,Washington Dulles International ,51,Floris,Virginia,United States of America (the)
Daily,2020-10-09,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-10-16,1.0,Washington Dulles International ,58,Floris,Virginia,United States of America (the)
Daily,2020-11-18,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-05-11,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-05-14,1.0,Washington Dulles International ,58,Floris,Virginia,United States of America (the)
Daily,2020-09-12,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-10-28,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-03-29,1.0,Washington Dulles International ,42,Floris,Virginia,United States of America (the)
Daily,2020-04-02,1.0,Washington Dulles International ,39,Floris,Virginia,United States of America (the)
Daily,2020-05-05,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-05-17,1.0,Washington Dulles International ,32,Floris,Virginia,United States of America (the)
Daily,2020-10-10,1.0,Washington Dulles International ,52,Floris,Virginia,United States of America (the)
Daily,2020-10-30,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-11-04,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-11-21,1.0,Washington Dulles International ,55,Floris,Virginia,United States of America (the)
Daily,2020-12-01,1.0,Washington Dulles International ,69,Floris,Virginia,United States of America (the)
Daily,2020-06-27,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-09-30,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-11-14,1.0,Washington Dulles International ,64,Floris,Virginia,United States of America (the)
Daily,2020-05-08,1.0,Washington Dulles International ,52,Floris,Virginia,United States of America (the)
Daily,2020-06-04,1.0,Washington Dulles International ,51,Floris,Virginia,United States of America (the)
Daily,2020-06-13,1.0,Washington Dulles International ,40,Floris,Virginia,United States of America (the)
Daily,2020-07-16,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-09-23,1.0,Washington Dulles International ,69,Floris,Virginia,United States of America (the)
Daily,2020-04-29,1.0,Washington Dulles International ,59,Floris,Virginia,United States of America (the)
Daily,2020-06-17,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-06-30,1.0,Washington Dulles International ,53,Floris,Virginia,United States of America (the)
Daily,2020-08-29,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-09-14,1.0,Washington Dulles International ,83,Floris,Virginia,United States of America (the)
Daily,2020-05-22,1.0,Washington Dulles International ,42,Floris,Virginia,United States of America (the)
Daily,2020-06-19,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
