AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-09-13,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-09-15,1.0,Dallas/Fort Worth International ,95,Grapevine,Texas,United States of America (the)
Daily,2020-03-16,1.0,Dallas/Fort Worth International ,82,Grapevine,Texas,United States of America (the)
Daily,2020-03-18,1.0,Dallas/Fort Worth International ,77,Grapevine,Texas,United States of America (the)
Daily,2020-03-25,1.0,Dallas/Fort Worth International ,74,Grapevine,Texas,United States of America (the)
Daily,2020-03-30,1.0,Dallas/Fort Worth International ,56,Grapevine,Texas,United States of America (the)
Daily,2020-05-10,1.0,Dallas/Fort Worth International ,38,Grapevine,Texas,United States of America (the)
Daily,2020-05-11,1.0,Dallas/Fort Worth International ,68,Grapevine,Texas,United States of America (the)
Daily,2020-09-03,1.0,Dallas/Fort Worth International ,85,Grapevine,Texas,United States of America (the)
Daily,2020-05-21,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-06-15,1.0,Dallas/Fort Worth International ,77,Grapevine,Texas,United States of America (the)
Daily,2020-09-02,1.0,Dallas/Fort Worth International ,82,Grapevine,Texas,United States of America (the)
Daily,2020-10-08,1.0,Dallas/Fort Worth International ,91,Grapevine,Texas,United States of America (the)
Daily,2020-10-13,1.0,Dallas/Fort Worth International ,91,Grapevine,Texas,United States of America (the)
Daily,2020-10-26,1.0,Dallas/Fort Worth International ,88,Grapevine,Texas,United States of America (the)
Daily,2020-04-07,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-05-22,1.0,Dallas/Fort Worth International ,68,Grapevine,Texas,United States of America (the)
Daily,2020-07-23,1.0,Dallas/Fort Worth International ,78,Grapevine,Texas,United States of America (the)
Daily,2020-10-11,1.0,Dallas/Fort Worth International ,79,Grapevine,Texas,United States of America (the)
Daily,2020-11-04,1.0,Dallas/Fort Worth International ,100,Grapevine,Texas,United States of America (the)
Daily,2020-11-17,1.0,Dallas/Fort Worth International ,100,Grapevine,Texas,United States of America (the)
Daily,2020-11-21,1.0,Dallas/Fort Worth International ,100,Grapevine,Texas,United States of America (the)
Daily,2020-04-06,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-04-12,1.0,Dallas/Fort Worth International ,31,Grapevine,Texas,United States of America (the)
Daily,2020-11-27,1.0,Dallas/Fort Worth International ,46,Grapevine,Texas,United States of America (the)
Daily,2020-05-06,1.0,Dallas/Fort Worth International ,66,Grapevine,Texas,United States of America (the)
Daily,2020-05-08,1.0,Dallas/Fort Worth International ,54,Grapevine,Texas,United States of America (the)
Daily,2020-06-04,1.0,Dallas/Fort Worth International ,80,Grapevine,Texas,United States of America (the)
Daily,2020-07-04,1.0,Dallas/Fort Worth International ,33,Grapevine,Texas,United States of America (the)
Daily,2020-07-11,1.0,Dallas/Fort Worth International ,70,Grapevine,Texas,United States of America (the)
Daily,2020-09-01,1.0,Dallas/Fort Worth International ,82,Grapevine,Texas,United States of America (the)
Daily,2020-10-29,1.0,Dallas/Fort Worth International ,93,Grapevine,Texas,United States of America (the)
Daily,2020-07-01,1.0,Dallas/Fort Worth International ,80,Grapevine,Texas,United States of America (the)
Daily,2020-08-12,1.0,Dallas/Fort Worth International ,84,Grapevine,Texas,United States of America (the)
Daily,2020-10-18,1.0,Dallas/Fort Worth International ,73,Grapevine,Texas,United States of America (the)
Daily,2020-04-19,1.0,Dallas/Fort Worth International ,41,Grapevine,Texas,United States of America (the)
Daily,2020-05-20,1.0,Dallas/Fort Worth International ,70,Grapevine,Texas,United States of America (the)
Daily,2020-08-06,1.0,Dallas/Fort Worth International ,75,Grapevine,Texas,United States of America (the)
Daily,2020-03-26,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-04-10,1.0,Dallas/Fort Worth International ,55,Grapevine,Texas,United States of America (the)
Daily,2020-08-10,1.0,Dallas/Fort Worth International ,80,Grapevine,Texas,United States of America (the)
Daily,2020-08-23,1.0,Dallas/Fort Worth International ,67,Grapevine,Texas,United States of America (the)
Daily,2020-08-28,1.0,Dallas/Fort Worth International ,95,Grapevine,Texas,United States of America (the)
Daily,2020-10-01,1.0,Dallas/Fort Worth International ,100,Grapevine,Texas,United States of America (the)
Daily,2020-04-30,1.0,Dallas/Fort Worth International ,58,Grapevine,Texas,United States of America (the)
Daily,2020-06-07,1.0,Dallas/Fort Worth International ,58,Grapevine,Texas,United States of America (the)
Daily,2020-07-17,1.0,Dallas/Fort Worth International ,76,Grapevine,Texas,United States of America (the)
Daily,2020-10-17,1.0,Dallas/Fort Worth International ,84,Grapevine,Texas,United States of America (the)
Daily,2020-11-05,1.0,Dallas/Fort Worth International ,91,Grapevine,Texas,United States of America (the)
Daily,2020-05-01,1.0,Dallas/Fort Worth International ,65,Grapevine,Texas,United States of America (the)
Daily,2020-06-20,1.0,Dallas/Fort Worth International ,58,Grapevine,Texas,United States of America (the)
Daily,2020-07-16,1.0,Dallas/Fort Worth International ,79,Grapevine,Texas,United States of America (the)
